address,txHash,outputIndex,value
muxP7kJNsV6v32m52gvsqHJTKLHiB53p9w,d59cbe2c485ff0d62af1aaaff9c45e35e901340c063f9ee32f5027d6665cdd7f,1,0.001
muxP7kJNsV6v32m52gvsqHJTKLHiB53p9w,298fadd9dd97da3ad0a8f4a6767873e83cc9745b00e4ea46dad8e3c2bc77b352,1,0.001
muxP7kJNsV6v32m52gvsqHJTKLHiB53p9w,be413a92854d463aececc51f8fc9f15c74f42fb06afab4372743c7397e1db1ee,1,0.01437723
